time,ax,ay,az,aT
1.9810,0.0436,0.0394,-0.1620,0.172
1.9820,-0.0611,-0.0155,0.0339,0.072
1.9880,0.0722,-0.0841,0.0692,0.131
1.9920,0.0668,-0.0382,0.0995,0.126
1.9970,-0.0452,-0.0095,-0.1410,0.148
2.0020,-0.1727,0.0949,0.1022,0.222
2.0080,0.0706,-0.0221,0.1061,0.129
2.0120,0.1291,-0.0362,0.1052,0.170
2.0170,0.0878,-0.0596,-0.1329,0.170
2.0220,-0.1074,0.0833,0.1197,0.181
2.0270,0.0239,0.0257,0.0784,0.086
2.0310,0.0876,-0.0623,0.0801,0.134
2.0360,0.0891,-0.0926,-0.1508,0.198
2.0450,0.0054,0.0363,-0.0356,0.051
2.0490,0.0101,0.0290,0.1071,0.111
2.0520,-0.0374,0.0240,0.1323,0.140
2.0610,0.0176,-0.0664,-0.2034,0.215
2.0660,-0.1225,-0.0042,0.0498,0.132
2.0670,0.0137,0.0148,0.0304,0.037
2.0710,0.0183,0.0217,0.0658,0.072
2.0760,-0.0172,0.0286,-0.1697,0.173
2.0810,-0.0691,0.0236,-0.0093,0.074
2.0860,0.0286,-0.0502,0.0667,0.088
2.0910,0.0898,-0.0592,0.0424,0.116
2.0950,0.0393,-0.0256,-0.0434,0.064
2.1010,-0.0581,0.1217,-0.0264,0.137
2.1050,-0.0244,0.0827,0.1186,0.147
2.1160,0.0847,-0.0935,0.0203,0.128
2.1160,0.0768,-0.0951,-0.0487,0.132
2.1200,0.0787,0.0884,-0.0720,0.139
2.1260,-0.0406,0.1375,0.0449,0.150
2.1300,-0.0095,-0.0106,0.0042,0.015
2.1340,-0.0475,-0.1197,-0.0196,0.130
2.1390,-0.0779,-0.0570,-0.0479,0.108
2.1450,-0.0109,0.0620,0.0830,0.104
2.1500,0.0840,0.0615,0.0064,0.104
2.1540,0.0050,0.0229,-0.0696,0.073
2.1640,0.0264,0.0274,-0.0857,0.094
2.1650,-0.0118,0.0248,0.0835,0.088
2.1690,0.1424,0.0271,-0.0667,0.160
2.1780,0.0558,0.0030,-0.0353,0.066
2.1790,-0.0560,0.0410,-0.1489,0.164
2.1840,-0.1885,0.0503,0.1537,0.248
2.1890,0.0501,-0.0902,-0.0611,0.120
2.1940,-0.0287,-0.0516,0.0557,0.081
2.1990,0.0428,0.0366,-0.1417,0.153
2.2040,-0.0905,0.1265,0.0066,0.156
2.2100,0.0786,-0.0596,0.0302,0.103
2.2130,0.0115,-0.0827,0.0324,0.090
2.2180,0.0377,-0.0108,-0.1482,0.153
2.2240,-0.0313,0.0678,0.0974,0.123
2.2310,0.0827,-0.0632,0.0776,0.130
2.2330,0.0463,-0.0010,0.0461,0.065
2.2380,0.0532,-0.0105,-0.1441,0.154
2.2440,-0.1133,0.0465,0.1134,0.167
2.2480,0.0892,0.0082,0.0507,0.103
2.2530,0.0812,0.0058,0.0123,0.082
2.2580,0.0925,-0.0132,-0.2013,0.222
2.2630,-0.0838,0.0131,0.0946,0.127
2.2670,0.0426,-0.0701,0.0843,0.118
2.2720,-0.0196,-0.0411,0.0100,0.047
2.2780,-0.0098,-0.0621,-0.1443,0.157
2.2820,-0.1425,0.0144,0.1369,0.198
2.2880,0.0532,-0.0142,0.0954,0.110
2.2930,0.0813,0.0595,0.1018,0.143
2.2970,0.0807,-0.0123,-0.1767,0.195
2.3020,-0.0625,-0.0050,0.0905,0.110
2.3080,0.0590,-0.0192,0.0613,0.087
2.3120,0.0442,0.0094,0.0893,0.100
2.3240,0.0297,-0.0144,-0.1488,0.152
2.3250,-0.1032,0.0426,0.0471,0.121
2.3270,0.0280,-0.0242,0.0016,0.037
2.3310,0.1178,0.0187,0.0632,0.135
2.3360,0.0790,-0.0574,-0.1912,0.215
2.3460,-0.0970,0.0760,0.0358,0.128
2.3460,-0.0867,0.0208,0.0142,0.090
2.3510,-0.0221,-0.0388,0.0402,0.060
2.3580,-0.0384,-0.0621,-0.1642,0.180
2.3630,-0.0879,0.0168,0.0554,0.105
2.3660,0.0218,0.0381,0.0692,0.082
2.3710,0.0761,0.0046,0.1944,0.209
2.3760,0.0519,-0.0121,-0.0825,0.098
2.3810,-0.0290,0.0522,-0.0367,0.070
2.3850,0.0305,0.0138,0.0609,0.070
2.3900,0.0990,-0.0383,0.1007,0.146
2.3960,0.0318,-0.0594,-0.0923,0.114
2.4000,-0.0987,0.0811,-0.0987,0.161
2.4050,-0.1215,0.0710,0.0588,0.153
2.4100,0.0479,0.0373,0.0393,0.072
2.4150,0.0475,-0.0271,-0.1319,0.143
2.4200,-0.0690,0.0729,-0.0786,0.127
2.4260,-0.1300,0.0367,0.1095,0.174
2.4320,-0.0365,-0.0396,-0.0527,0.075
2.4370,-0.0457,-0.0535,-0.0903,0.114
2.4400,-0.0618,0.0325,-0.0824,0.108
2.4450,-0.0328,0.0893,0.1841,0.207
2.4490,0.0433,-0.0158,0.0188,0.050
2.4540,-0.0401,-0.0798,-0.0336,0.095
2.4620,-0.0158,0.0014,-0.1021,0.103
2.4660,-0.0252,0.0418,0.0933,0.105
2.4690,0.1197,-0.0085,0.0119,0.121
2.4740,0.0285,-0.0512,-0.0001,0.059
2.4800,-0.0024,0.0252,-0.0879,0.091
2.4840,-0.0855,0.0867,0.0695,0.140
2.4890,0.0907,-0.0137,0.0357,0.098
2.4930,0.0092,-0.0492,-0.0026,0.050
2.4990,-0.0050,0.0367,-0.1307,0.136
2.5030,-0.1734,0.0957,0.0911,0.218
2.5080,0.0225,-0.0379,0.0310,0.054
2.5160,0.0008,0.0026,0.0568,0.057
2.5180,-0.0442,-0.0117,-0.1121,0.121
